RA,Fase,Turma,Nome,Ano de Nascimento do Aluno,Idade do Aluno,Gênero,Ano de Ingresso na Passos Mágicos,Instituição de ensino,Pedra 2020,Pedra 2021,Pedra 2022,Índice de Desenvolvimento Educacional (INDE),Classificação Geral (Ranking Geral),Classificação na Fase (Ranking por Fase),Classificação na Turma (Ranking por Turma),Quantidade de Avaliações,Equipe Avaliadora 1,Recomendação da Equipe Avaliadora 1,Equipe Avaliadora 2,Recomendação da Equipe Avaliadora 2,Equipe Avaliadora 3,Recomendação da Equipe Avaliadora 3,Equipe Avaliadora 4,Recomendação da Equipe Avaliadora 4,Indicador de Autoavaliação,Indicador de Engajamento,Indicador Psicossocial,Recomendação da Equipe de Psicologia,Indicador de Aprendizagem,Nota Média de Matemática,Nota Média de Português,Nota Média de Inglês,Indicado para Bolsa,Atingiu Ponto de Virada,Indicador de Ponto de Virada,Indicador de Adequação ao Nível,Fase ideal,Nível de Defasagem,Observações sobre Indicador de Engajamento,Observações sobre Indicador de Aprendizagem,Observações sobre Indicador de Ponto de Virada,Fase_ideal_num,gap_fase,pv_bool,cluster5
RA-502,1,B,Aluno-502,2014,8,Menina,2021,Rede Decisão,,Topázio,Topázio,8.287,62,13,2,3,Avaliador-4,Mantido na Fase atual,Avaliador-2,Promovido de Fase,Avaliador-15,Mantido na Fase atual,,,9.5,9.7,7.5,Sem limitações,7.4,6.7,8.2,,Não,Não,7.778,10.0,ALFA  (2º e 3º ano),1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,1.0,False,2
RA-601,1,L,Aluno-601,2014,8,Menino,2021,Escola Pública,,Topázio,Ametista,7.713,231,60,7,3,Avaliador-4,Mantido na Fase atual,Avaliador-2,Mantido na Fase atual,,Mantido na Fase atual,,,9.0,9.7,7.5,Sem limitações,5.7,5.3,6.0,,Não,Não,7.167,10.0,ALFA  (2º e 3º ano),1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,1.0,False,2
RA-673,0,A,Aluno-673,2014,8,Menina,2022,Escola Pública,,,Topázio,8.65,21,2,1,2,Avaliador-11,Promovido de Fase + Bolsa,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.5,9.2,8.1,Não atendido,9.2,9.4,8.9,,Sim,Sim,8.583,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,True,2
RA-674,0,A,Aluno-674,2014,8,Menino,2022,Escola Pública,,,Ametista,7.862,181,50,3,2,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.7,8.1,Sem limitações,8.0,8.9,7.0,,Não,Não,6.333,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-675,0,A,Aluno-675,2014,8,Menino,2022,Escola Pública,,,Ametista,7.576,284,79,5,2,Avaliador-11,Mantido na Fase + Bolsa,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,6.6,8.1,Não atendido,7.4,8.8,5.9,,Sim,Não,7.083,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-677,0,B,Aluno-677,2014,8,Menina,2021,Escola Pública,,Ametista,Topázio,8.358,52,13,1,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,9.4,7.5,Não atendido,7.3,7.7,6.8,,Não,Sim,8.583,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,True,2
RA-684,0,C,Aluno-684,2015,7,Menino,2022,Escola Pública,,,Topázio,8.26,72,19,1,2,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,7.5,8.1,Não atendido,9.3,9.0,9.6,,Não,Não,7.917,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-691,0,D,Aluno-691,2014,8,Menina,2022,Escola Pública,,,Topázio,8.68,16,1,1,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,9.2,8.1,Sem limitações,9.4,9.6,9.3,,Não,Não,7.917,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-693,0,D,Aluno-693,2015,7,Menina,2022,Escola Pública,,,Ametista,7.944,158,43,3,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,9.8,8.1,Sem limitações,5.7,5.0,6.3,,Não,Não,7.667,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-694,0,D,Aluno-694,2014,8,Menino,2022,Escola Pública,,,Topázio,8.378,49,11,2,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,9.0,8.1,Sem limitações,8.1,8.2,8.0,,Não,Não,7.917,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-702,0,F,Aluno-702,2014,8,Menina,2022,Escola Pública,,,Ametista,7.387,366,110,5,2,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,8.6,5.0,Não indicado,6.8,7.0,6.7,,Não,Não,7.0,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-718,0,G,Aluno-718,2014,8,Menina,2022,Escola Pública,,,Topázio,8.093,118,33,1,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.0,8.9,6.3,Sem limitações,9.2,9.2,9.2,,Não,Não,7.417,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-721,0,G,Aluno-721,2014,8,Menina,2021,Escola Pública,,Topázio,Ametista,7.973,149,41,2,2,Avaliador-13,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,8.1,7.5,Não atendido,7.6,8.2,7.0,,Não,Não,7.917,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-723,0,H,Aluno-723,2014,8,Menina,2022,Escola Pública,,,Ametista,7.426,345,101,4,2,Avaliador-11,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,6.6,8.1,Não atendido,5.5,5.3,5.7,,Não,Não,8.167,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-724,0,H,Aluno-724,2014,8,Menina,2022,Escola Pública,,,Ágata,6.931,512,146,6,2,Avaliador-11,Promovido de Fase,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,9.5,5.9,5.6,Sem limitações,5.6,2.9,8.3,,Não,Não,8.0,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-725,0,H,Aluno-725,2014,8,Menino,2022,Escola Pública,,,Ágata,6.33,675,175,7,2,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,8.0,5.9,8.1,Não atendido,5.0,4.0,6.0,,Não,Não,5.5,10.0,ALFA  (2º e 3º ano),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
RA-726,0,H,Aluno-726,2015,7,Menina,2022,Escola Pública,,,Ágata,6.985,492,140,5,2,Avaliador-11,Mantido na Fase atual,Avaliador-3,Mantido na Fase atual,,Não avaliado,,,10.0,7.5,7.5,Não atendido,4.4,5.8,3.0,,Não,Não,6.583,10.0,ALFA  (2º e 3º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2.0,2.0,False,2
