RA,Fase,Turma,Nome,Ano de Nascimento do Aluno,Idade do Aluno,Gênero,Ano de Ingresso na Passos Mágicos,Instituição de ensino,Pedra 2020,Pedra 2021,Pedra 2022,Índice de Desenvolvimento Educacional (INDE),Classificação Geral (Ranking Geral),Classificação na Fase (Ranking por Fase),Classificação na Turma (Ranking por Turma),Quantidade de Avaliações,Equipe Avaliadora 1,Recomendação da Equipe Avaliadora 1,Equipe Avaliadora 2,Recomendação da Equipe Avaliadora 2,Equipe Avaliadora 3,Recomendação da Equipe Avaliadora 3,Equipe Avaliadora 4,Recomendação da Equipe Avaliadora 4,Indicador de Autoavaliação,Indicador de Engajamento,Indicador Psicossocial,Recomendação da Equipe de Psicologia,Indicador de Aprendizagem,Nota Média de Matemática,Nota Média de Português,Nota Média de Inglês,Indicado para Bolsa,Atingiu Ponto de Virada,Indicador de Ponto de Virada,Indicador de Adequação ao Nível,Fase ideal,Nível de Defasagem,Observações sobre Indicador de Engajamento,Observações sobre Indicador de Aprendizagem,Observações sobre Indicador de Ponto de Virada,Fase_ideal_num,gap_fase,pv_bool,cluster5,risk_score
RA-104,4,A,Aluno-104,2004,18,Menino,2022,Escola Pública,,,Ágata,6.315,681,61,11,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.9,8.7,7.5,Não atendido,3.7,4.8,5.8,0.3,Não,Não,6.708,2.5,Fase 8 (Universitários),-4,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,4.0,False,0,1.8922637330180945
RA-60,5,B,Aluno-60,2004,18,Menina,2021,Escola Pública,,Quartzo,Quartzo,5.537,787,53,16,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Alocado em Fase anterior,Avaliador-31,,6.7,6.0,7.5,Não atendido,4.9,5.0,6.2,3.5,Não,Não,6.167,2.5,Fase 8 (Universitários),-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,3.0,False,0,1.706238760969833
RA-302,3,M,Aluno-302,2006,16,Menino,2022,Escola Pública,,,Ágata,6.334,673,90,10,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Promovido de Fase,9.2,7.7,6.9,Sem limitações,4.8,4.3,5.0,5.0,Não,Não,6.208,2.5,Fase 6 (2º EM),-3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,3.0,False,0,1.5077481969350084
RA-108,4,A,Aluno-108,2005,17,Menina,2019,Escola Pública,Ágata,Ágata,Quartzo,5.547,784,72,15,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,4.6,7.7,5.0,Não indicado,5.0,3.0,5.8,6.2,Não,Não,6.125,2.5,Fase 7 (3º EM),-3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,3.0,False,0,1.4898123555236782
RA-182,3,A,Aluno-182,2006,16,Menina,2021,Escola Pública,,Quartzo,Ágata,6.328,677,93,15,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Promovido de Fase,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,7.5,8.0,7.5,Não atendido,4.1,1.3,5.7,5.4,Não,Não,6.958,2.5,Fase 6 (2º EM),-3,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,3.0,False,0,1.4708628930247318
RA-46,5,A,Aluno-46,2005,17,Menina,2022,Escola Pública,,,Ágata,6.048,719,46,7,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,,8.8,8.4,6.3,Sem limitações,2.1,2.8,2.8,0.7,Não,Não,7.083,5.0,Fase 7 (3º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,2.0,False,0,1.284198736606454
RA-95,5,L,Aluno-95,2005,17,Menina,2022,Escola Pública,,,Ágata,6.308,685,41,9,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,8.3,6.6,7.5,Sem limitações,4.8,6.0,8.0,0.5,Não,Não,6.292,5.0,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,2.0,False,0,1.2165956725760585
RA-6,7,A,Aluno-6,2004,18,Menina,2021,Escola Pública,,Ágata,Quartzo,5.848,745,16,8,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,4.5,7.5,Sem limitações,3.3,2.3,5.3,2.3,Sim,Não,7.222,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,1.0,False,0,1.1513749806746039
RA-49,5,A,Aluno-49,2005,17,Menina,2022,Escola Pública,,,Ágata,6.304,687,42,6,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase,Avaliador-31,,7.5,7.4,7.5,Sem limitações,3.9,1.5,4.2,6.2,Não,Não,7.042,5.0,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,2.0,False,0,1.1479955167920068
RA-1,7,A,Aluno-1,2003,19,Menina,2016,Escola Pública,Ametista,Ametista,Quartzo,5.783,753,18,10,4,Avaliador-5,Mantido na Fase atual,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Mantido na Fase atual,8.3,4.1,5.6,Requer avaliação,4.0,2.7,3.5,6.0,Sim,Não,7.278,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,1.0,False,0,1.0898934651139214
RA-294,3,L,Aluno-294,2004,18,Menina,2022,Escola Pública,,,Quartzo,5.031,819,127,6,4,Avaliador-6,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Promovido de Fase,9.6,5.8,7.5,Não atendido,0.0,,,,Não,Não,5.917,2.5,Fase 8 (Universitários),-5,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,5.0,False,1,3.3111745566169746
RA-287,3,L,Aluno-287,2005,17,Menina,2022,Escola Pública,,,Quartzo,3.7,859,148,11,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,7.9,3.4,5.0,Requer avaliação,1.1,0.7,2.5,0.2,Não,Não,4.292,2.5,Fase 7 (3º EM),-4,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,4.0,False,1,3.251901244178244
RA-259,3,G,Aluno-259,2006,16,Menino,2017,Escola Pública,Quartzo,Quartzo,Quartzo,4.182,853,146,15,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Promovido de Fase,Avaliador-31,Alocado em Fase anterior,8.8,2.9,7.5,Não atendido,0.9,0.0,2.7,0.2,Não,Não,4.625,2.5,Fase 6 (2º EM),-3,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,6.0,3.0,False,1,2.88266634383272
RA-290,3,L,Aluno-290,2005,17,Menina,2022,Escola Pública,,,Quartzo,4.929,830,131,7,4,Avaliador-6,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-30,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,10.0,3.9,6.3,Sem limitações,1.7,1.0,2.3,1.8,Não,Não,6.042,2.5,Fase 7 (3º EM),-4,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,4.0,False,1,2.862815630127027
